SITEID,COUNTYID,DATACREATIONDATE,PSI
273,10002,26-8 -16,35.0
274,10002,26-8 -16,33.0
211,65000,26-8 -16,43.0
212,68000,26-8 -16,51.0
275,10008,26-8 -16,58.0
213,65000,26-8 -16,30.0
214,64000,26-8 -16,44.0
215,10008,26-8 -16,56.0
218,9007,26-8 -16,34.0
220,9020,26-8 -16,35.0
260,64000,27-8 -16,
206,64000,28-8 -16,46.0
261,64000,28-8 -16,48.0
207,64000,28-8 -16,46.0
262,64000,28-8 -16,31.0
263,64000,28-8 -16,36.0
264,64000,28-8 -16,51.0
265,64000,28-8 -16,48.0
266,64000,28-8 -16,40.0
209,64000,28-8 -16,42.0
267,64000,28-8 -16,53.0
268,10013,28-8 -16,36.0
269,10013,28-8 -16,46.0
246,66000,30-8 -16,58.0
247,66000,30-8 -16,59.0
248,10007,30-8 -16,56.0
204,10007,30-8 -16,52.0
255,10020,29-8 -16,61.0
256,67000,29-8 -16,55.0
257,67000,29-8 -16,48.0
258,67000,29-8 -16,49.0
259,67000,29-8 -16,64.0
260,64000,29-8 -16,
206,64000,29-8 -16,53.0
261,64000,29-8 -16,47.0
207,64000,29-8 -16,44.0
262,64000,29-8 -16,34.0
263,64000,29-8 -16,40.0
264,64000,29-8 -16,39.0
265,64000,29-8 -16,35.0
266,64000,29-8 -16,28.0
209,64000,29-8 -16,32.0
267,64000,29-8 -16,32.0
268,10013,29-8 -16,29.0
269,10013,29-8 -16,42.0
270,10013,29-8 -16,64.0
271,10014,29-8 -16,48.0
272,10015,29-8 -16,52.0
210,63000,29-8 -16,58.0
273,10002,29-8 -16,54.0
274,10002,29-8 -16,55.0
211,65000,29-8 -16,60.0
212,68000,29-8 -16,62.0
275,10008,29-8 -16,75.0
262,64000,26-8 -16,38.0
213,65000,29-8 -16,41.0
214,64000,29-8 -16,33.0
215,10008,29-8 -16,33.0
218,9007,29-8 -16,50.0
220,9020,29-8 -16,70.0
223,10014,29-8 -16,45.0
249,10007,30-8 -16,52.0
250,10008,30-8 -16,46.0
270,10013,28-8 -16,35.0
271,10014,28-8 -16,64.0
272,10015,28-8 -16,51.0
210,63000,28-8 -16,56.0
273,10002,28-8 -16,44.0
274,10002,28-8 -16,42.0
211,65000,28-8 -16,55.0
212,68000,28-8 -16,54.0
275,10008,28-8 -16,37.0
213,65000,28-8 -16,40.0
214,64000,28-8 -16,43.0
215,10008,28-8 -16,34.0
218,9007,28-8 -16,
220,9020,28-8 -16,47.0
221,10016,28-8 -16,58.0
223,10014,28-8 -16,38.0
367625,10009,28-8 -16,86.0
276,10017,28-8 -16,58.0
277,65000,28-8 -16,39.0
267,64000,23-8 -16,51.0
268,10013,23-8 -16,46.0
269,10013,23-8 -16,52.0
284,65000,24-8 -16,40.0
291,68000,22-8 -16,30.0
292,68000,22-8 -16,43.0
265,64000,23-8 -16,40.0
266,64000,23-8 -16,38.0
209,64000,23-8 -16,46.0
202,68000,22-8 -16,50.0
293,68000,22-8 -16,58.0
294,68000,22-8 -16,58.0
295,10004,22-8 -16,42.0
263,64000,23-8 -16,44.0
264,64000,23-8 -16,54.0
367625,10009,29-8 -16,99.0
276,10017,29-8 -16,57.0
277,65000,29-8 -16,51.0
278,65000,29-8 -16,82.0
279,65000,29-8 -16,51.0
280,65000,29-8 -16,54.0
278,65000,28-8 -16,69.0
279,65000,28-8 -16,47.0
280,65000,28-8 -16,46.0
281,65000,28-8 -16,48.0
282,65000,28-8 -16,41.0
283,65000,28-8 -16,45.0
284,65000,28-8 -16,54.0
285,65000,28-8 -16,52.0
286,63000,28-8 -16,41.0
287,63000,28-8 -16,49.0
288,63000,28-8 -16,41.0
289,63000,28-8 -16,47.0
245,66000,27-8 -16,54.0
246,66000,27-8 -16,49.0
247,66000,27-8 -16,50.0
248,10007,27-8 -16,51.0
204,10007,27-8 -16,40.0
249,10007,27-8 -16,52.0
250,10008,27-8 -16,60.0
251,10009,27-8 -16,52.0
252,10009,27-8 -16,44.0
253,10010,27-8 -16,52.0
254,10010,27-8 -16,53.0
